x_0,x_1,y,s
-0.4327288568019867,-0.010524164885282516,0,0
2.6916356086730957,3.0996453762054443,1,0
4.713027000427246,4.743089199066162,1,0
3.4340174198150635,2.4742064476013184,1,1
3.7652924060821533,2.6608448028564453,1,1
4.01725959777832,3.96427059173584,1,0
2.3561313152313232,1.9027246236801147,1,0
1.7145860195159912,4.298842430114746,1,0
4.4704790115356445,3.997868061065674,1,0
-0.7928156852722168,0.39651763439178467,0,0
0.5716183185577393,0.2069626897573471,0,0
-0.4780022203922272,0.6346049308776855,0,0
3.7506103515625,1.1668778657913208,1,0
-0.7396926283836365,-1.6732591390609741,0,0
2.6746370792388916,1.1340316534042358,1,0
3.755742311477661,1.9528778791427612,1,0
2.009460926055908,1.580163598060608,1,0
1.1387401819229126,0.03570522367954254,0,0
3.5515880584716797,3.597364664077759,1,0
3.2276713848114014,4.256199836730957,1,1
3.3242788314819336,3.759436845779419,1,0
3.265289306640625,4.128860950469971,1,0
2.7843868732452393,0.10931233316659927,0,0
4.637561798095703,3.7872390747070312,1,0
3.70742130279541,3.8092503547668457,1,0
3.139296770095825,2.4025020599365234,1,1
-0.6816015243530273,1.2189041376113892,0,0
2.7794835567474365,3.5679550170898438,1,0
2.7670774459838867,2.7448952198028564,1,0
-1.1944211721420288,0.5164207816123962,0,0
2.37467098236084,2.9683921337127686,1,0
1.9953590631484985,2.730929374694824,1,0
-0.30192169547080994,-1.2809113264083862,0,0
3.0931732654571533,3.0740201473236084,1,0
3.401211977005005,2.153120994567871,1,0
0.11891643702983856,-1.2555382251739502,0,0
1.4726587533950806,4.287879943847656,1,0
3.1568853855133057,3.3839073181152344,1,0
1.74270498752594,3.945544719696045,1,0
3.294499635696411,2.8577749729156494,1,0
2.379164934158325,4.010942459106445,1,0
2.854003667831421,2.0142924785614014,1,0
4.979440212249756,2.628222942352295,1,1
0.2999313771724701,3.166612386703491,1,0
-0.8304381966590881,-0.5185915231704712,0,0
0.0850084125995636,-0.19200995564460754,0,0
0.6250379085540771,-1.054694652557373,0,0
0.2343061864376068,-0.9240286946296692,0,0
1.837127923965454,0.7558037638664246,0,0
4.121652126312256,2.0901315212249756,1,0
2.7722387313842773,3.829106569290161,1,1
-0.027805155143141747,0.6373695135116577,0,0
-0.6478182673454285,-1.016302466392517,0,0
-1.586574912071228,1.7991127967834473,0,0
3.8056833744049072,3.7779881954193115,1,1
3.992494821548462,3.0286335945129395,1,0
3.5534675121307373,1.7263484001159668,1,0
-2.3644869327545166,-1.1477115154266357,0,0
2.2723748683929443,3.251638889312744,1,0
3.5719428062438965,4.215286731719971,1,1
1.894382357597351,4.4995503425598145,1,0
3.483428478240967,1.4244270324707031,1,0
1.265019416809082,1.4418928623199463,1,0
3.0356287956237793,3.801150321960449,1,0
-0.5686497092247009,0.5484700202941895,0,0
